match_formation;coeff_formation
15_19;0.3643463514
20_24;1.1925914294
25_29;1.5786652177
30_34;1.6593855893
35_39;1.4747607818
40_44;1.1661935446
45_49;1.0036517567
50_54;0.9227146741
55_59;0.8521918848
60_64;0.7994918288
65_P;0.5013187856
Ensemble;1.0
F_15_19;0.4386206827
F_20_24;1.2440420113
F_25_29;1.7218229536
F_30_34;1.7846399746
F_35_39;1.5631055476
F_40_44;1.2054692338
F_45_49;1.0581991545
F_50_54;0.9988324336
F_55_59;0.8660127417
F_60_64;0.7801050838
F_65_P;0.4433355774
F_Ensemble;1.0207441047
M_15_19;0.3100433259
M_20_24;1.146228557
M_25_29;1.4342932447
M_30_34;1.5324843132
M_35_39;1.3859917577
M_40_44;1.1306704528
M_45_49;0.9267194762
M_50_54;0.8677452426
M_55_59;0.8375696686
M_60_64;0.8569537562
M_65_P;0.583306438
M_Ensemble;1.0256371654
